Close,Date,High,Low,Open,Volume
1.12737,2015-09-15T13:00:00.000000000Z,1.13145,1.12688,1.13039,4139
1.12831,2015-09-15T15:00:00.000000000Z,1.12831,1.12588,1.12737,3646
1.12723,2015-09-15T17:00:00.000000000Z,1.12867,1.12621,1.12828,2011
1.12687,2015-09-15T19:00:00.000000000Z,1.12767,1.12625,1.12726,1138
1.12716,2015-09-15T21:00:00.000000000Z,1.12719,1.12636,1.1269,498
1.12785,2015-09-15T23:00:00.000000000Z,1.12803,1.127,1.12713,741
1.12893,2015-09-16T01:00:00.000000000Z,1.129,1.12786,1.12788,1018
1.12948,2015-09-16T03:00:00.000000000Z,1.12986,1.12885,1.12896,864
1.12767,2015-09-16T05:00:00.000000000Z,1.12945,1.12656,1.12945,2071
1.12538,2015-09-16T07:00:00.000000000Z,1.12785,1.12456,1.12767,3458
1.12235,2015-09-16T09:00:00.000000000Z,1.12563,1.12193,1.12532,2933
1.12679,2015-09-16T11:00:00.000000000Z,1.12728,1.1214,1.12232,4379
1.12941,2015-09-16T13:00:00.000000000Z,1.1313,1.12673,1.12678,4948
1.13091,2015-09-16T15:00:00.000000000Z,1.13207,1.1291,1.12944,2346
1.1276,2015-09-16T17:00:00.000000000Z,1.13143,1.12753,1.13096,1383
1.12915,2015-09-16T19:00:00.000000000Z,1.12926,1.12749,1.12763,1117
1.12921,2015-09-16T21:00:00.000000000Z,1.12929,1.12864,1.12911,622
1.12938,2015-09-16T23:00:00.000000000Z,1.1303,1.12866,1.12921,981
1.1306,2015-09-17T01:00:00.000000000Z,1.13181,1.12929,1.12942,1558
1.12962,2015-09-17T03:00:00.000000000Z,1.13073,1.12942,1.13057,820
1.13021,2015-09-17T05:00:00.000000000Z,1.13112,1.12846,1.12962,2693
1.13299,2015-09-17T07:00:00.000000000Z,1.1338,1.12884,1.13024,3588
1.13248,2015-09-17T09:00:00.000000000Z,1.13352,1.13112,1.133,2174
1.13281,2015-09-17T11:00:00.000000000Z,1.13287,1.13106,1.13244,2345
1.13075,2015-09-17T13:00:00.000000000Z,1.13288,1.13064,1.1328,2955
1.13044,2015-09-17T15:00:00.000000000Z,1.13233,1.12943,1.13072,2923
1.13943,2015-09-17T17:00:00.000000000Z,1.14209,1.13031,1.13042,20447
1.14345,2015-09-17T19:00:00.000000000Z,1.14413,1.13808,1.13947,7702
1.14146,2015-09-17T21:00:00.000000000Z,1.1433,1.14137,1.14319,1466
1.14036,2015-09-17T23:00:00.000000000Z,1.14188,1.139,1.14148,3440
